Fe II	232.571468	232.571478	13000	
Fe II	232.622105	232.622115	12000	
Fe II	232.676916	232.676944	9000	
Fe II	232.681043	232.681022	11000	
Fe II	232.739551	232.739541	260000	
Fe II	232.787515	232.787510	21000bl(Fe II) 	
Fe II	232.999216	232.999213	14000	
Fe II	233.111215	233.111243	7000	
Fe II	233.130810	233.130809	270000	
Fe II	233.197443	233.197444	20000	
Fe II	233.224116	233.224104	8000	
Fe II	233.41228	233.412286	3000	
Fe II	233.682348	233.682353	10000	
Fe II	233.800624	233.800655	400000	
Fe II	233.988221	233.988237	11000	
Fe II	234.117463	234.117466	20000	
Fe II	234.145227	234.145226	12000	
Fe II	234.164827	234.164824	7000	
Fe II	234.330731	234.330744	19000	
Fe II	234.349480	234.349481	1000000	
Fe II	234.396076	234.396077	190000	
Fe II	234.415471	234.415459	10000	
Fe II	234.428135	234.428128	340000	
Fe II	234.498419	234.498424	10000bl(Fe II) 	
Fe II	234.635412	234.635410	13000	
Fe II	234.661657	234.661662	15000	
Fe II	234.668111	234.668118	19000	
Fe II	234.811560	234.811561	500000	
Fe II	234.926888	234.926883	14000bl(Fe II) 	
Fe II	235.024695	235.024665	7000	
Fe II	235.051784	235.051751	8000	
Fe II	235.230893	235.230910	80000	
Fe II	235.346962	235.346963	23000	
Fe II	235.535013	235.535023	120000	
Fe II	235.915259	235.915173	8000	
Fe II	236.005185	236.005399	6000	
Fe II	236.029423	236.029423	300000	
Fe II	236.041015	236.041015	13000	
Fe II	236.051111	236.051098	22000	
Fe II	236.350026	236.350029	35000	
Fe II	236.386087	236.386088	200000	
Fe II	236.482785	236.482785	500000	
Fe II	236.576526	236.576600	32000	
Fe II	236.859607	236.859599	200000	
Fe II	236.972709	236.972704	23000	
Fe II	236.995313	236.995317	280000	
Fe II	237.01290	237.012889	4000	
Fe II	237.373538	237.373534	400000	
Fe II	237.439109	237.439114	7000	
Fe II	237.465303	237.465314	10000	
Fe II	237.51390	237.513810	4000	
Fe II	237.642906	237.642916	400000	
Fe II	237.812610	237.812606	5000	
Fe II	237.927622	237.927624	190000	
Fe II	238.020486	238.020491	16000	
Fe II	238.087490	238.087506	6000	
Fe II	238.203733	238.203729	1800000	
Fe II	238.24929	238.249227	3600	
Fe II	238.324495	238.324494	170000	
Fe II	238.442283	238.442280	40000	
Fe II	238.451904	238.451915	7000	
Fe II	238.862863	238.862859	700000bl(Fe II) 	
Fe II	239.009685	239.009679	26000	
Fe II	239.208890	239.208896	11000	
Fe II	239.541909	239.541911	110000	
Fe II	239.562504	239.562498	1500000	
Fe II	239.610105	239.610101	9000	
Fe II	239.864918	239.864913	70000	
Fe II	239.924102	239.924104	700000	
Fe II	240.004908	240.004984	17000	
Fe II	240.443072	240.443046	120000	
Fe II	240.488550	240.488540	1100000	
Fe II	240.499322	240.499369	20000	
Fe II	240.666097	240.666098	600000	
Fe II	240.697542	240.697536	21000	
Fe II	240.877445	240.877437	14000	
Fe II	240.953517	240.953516	10000	
Fe II	240.985873	240.985883	21000	
Fe II	241.051891	241.051889	800000	
Fe II	241.106689	241.106724	400000	
Fe II	241.180771	241.180768	29000	
Fe II	241.243744	241.243758	27000	
Fe II	241.331010	241.331009	400000	
Fe II	241.399345	241.399319	28000	
Fe II	241.536098	241.536129	15000	
Fe II	241.644523	241.644520	80000	
Fe II	241.843659	241.843655	60000	
Fe II	242.414529	242.414529	270000	
Fe II	242.563758	242.563758	10000	
Fe II	242.607745	242.607740	10000	
Fe II	242.719946	242.719984	9000	
Fe II	242.836349	242.836353	190000	
Fe II	243.287288	243.287285	100000	
Fe II	243.472903	243.472900	80000	
Fe II	243.699621	243.69990	13000bl(Fe II) 	
Fe II	243.720356	243.720356	60000	
Fe II	243.930114	243.930113	290000	
Fe II	244.058635	244.058596	4000bl(Fe II) 	
Fe II	244.237568	244.237572	14000	
Fe I	244.38716	244.387166	1580	
Fe II	244.451511	244.451510	280000	
Fe II	244.510618	244.510594	120000	
Fe II	244.775491	244.775478	40000	
Fe II	245.878354	245.878349	230000	
Fe II	246.128325	246.128326	180000	
Fe II	246.186072	246.186075	220000	
Fe I	246.88797	246.887968	7100	
Fe II	246.951439	246.951448	90000	
Fe II	247.087894	247.087894	7000	
Fe I	247.09653	247.096525	910	
Fe I	247.2341	247.233614	6000bl 	
Fe I	247.31566	247.315677	4470	
Fe II	247.511692	247.511681	110000bl(Fe II) 	
Fe II	247.554125	247.554128	100000	
Fe II	248.26754	248.26755	5000	
Fe II	248.635078	248.635096	140000	
Fe I	248.63725	248.637304	5800	
Fe II	248.83540	248.83530	7000	
Fe II	248.982955	248.982965	230000	
Fe II	249.0706	249.07126	160000	
Fe II	249.318431	249.318437	260000	
Fe II	249.326342	249.326340	400000	
Fe II	249.586823	249.586831	40000	
Fe II	249.889721	249.889733	240000	
Fe II	250.092334	250.092331	40000	
Fe II	250.387419	250.387412	100000	
Fe II	250.679656	250.679662	50000bl(Fe II) 	
Fe I	250.79001	250.790017	4900	
Fe I	251.23647	251.236465	3090	
Fe II	251.438297	251.438291	80000	
Fe II	251.51190	251.511900	15000	
Fe II	252.14864	252.14858	4000	
Fe II	252.181511	252.181518	50000	
Fe II	252.289161	252.289172	60000	
Fe II	252.538758	252.538757	240000	
Fe II	252.629363	252.629366	350000	
Fe II	252.954515	252.954427	250000	
Fe II	253.187088	253.187091	7000	
Fe II	253.362708	253.362706	200000	
Fe II	253.441837	253.441838	150000	
Fe II	253.680452	253.680465	150000	
Fe II	253.820421	253.820420	50000bl(Fe II) 	
Fe II	253.879842	253.879846	140000	
Fe II	253.899324	253.899319	210000	
Fe II	253.932760	253.932752	8000	
Fe II	254.066102	254.066413	100000	
Fe I	254.06633	254.066032	2630	
Fe II	254.308010	254.307999	4000	
Fe II	254.644169	254.644158	7000	
